name,type,start_time,duration
"ICM42688 SPI","error",0.63631475,0.000001375
"ICM42688 SPI","enable",0.636346125,0.000000125
"ICM42688 SPI","disable",0.63637725,0.000000125
"ICM42688 SPI","error",0.63640725,0.000000625
"ICM42688 SPI","error",0.636437375,0.000078
"ICM42688 SPI","error",0.636544125,0.0000015
"ICM42688 SPI","enable",0.636576,0.000000125
"ICM42688 SPI","disable",0.63660675,0.000000125
"ICM42688 SPI","error",0.636634,0.000003375
"ICM42688 SPI","error",0.636726375,0.000003
"ICM42688 SPI","enable",0.636758875,0.000000125
"ICM42688 SPI","disable",0.6369295,0.000000125
"ICM42688 SPI","error",0.637003125,0.000002625
"ICM42688 SPI","error",0.63703575,0.00007725
"ICM42688 SPI","error",0.637312375,0.00007675
"ICM42688 SPI","enable",0.689925875,0.000000125
"ICM42688 SPI","disable",0.68995675,0.000000125
"ICM42688 SPI","error",0.689987,0.000000375
"ICM42688 SPI","error",0.690017875,0.000031125
"ICM42688 SPI","error",0.690123125,0.000002
"ICM42688 SPI","error",0.690155875,0.000031125
"ICM42688 SPI","error",0.690217,0.0000005
"ICM42688 SPI","error",0.690245875,0.000033125
"ICM42688 SPI","enable",0.69033975,0.000000125
"ICM42688 SPI","disable",0.69037075,0.000000125
"ICM42688 SPI","enable",0.69042925,0.000000125
"ICM42688 SPI","disable",0.69050875,0.000000125
"ICM42688 SPI","error",0.690536125,0.000002875
"ICM42688 SPI","enable",0.690569,0.000000125
"ICM42688 SPI","disable",0.690600125,0.000000125
"ICM42688 SPI","error",0.69063,0.000000875
"ICM42688 SPI","error",0.69072025,0.0000025
"ICM42688 SPI","enable",0.690752,0.000000125
"ICM42688 SPI","disable",0.690922625,0.000000125
"ICM42688 SPI","error",0.690950125,0.000003125
"ICM42688 SPI","error",0.690997375,0.00000175
"ICM42688 SPI","enable",0.691028875,0.000000125
"ICM42688 SPI","disable",0.69110625,0.000000125
"ICM42688 SPI","error",0.69127375,0.0000015
"ICM42688 SPI","error",0.69130575,0.00007675
"ICM42688 SPI","error",0.743919625,0.00003075
"ICM42688 SPI","error",0.744011375,0.000030875
"ICM42688 SPI","error",0.744072375,0.000000375
"ICM42688 SPI","enable",0.7441475,0.000000125
"ICM42688 SPI","disable",0.74418075,0.000000125
"ICM42688 SPI","error",0.7442085,0.0000025
"ICM42688 SPI","enable",0.744241375,0.000000125
"ICM42688 SPI","disable",0.744272375,0.000000125
"ICM42688 SPI","error",0.744330625,0.00003375
"ICM42688 SPI","error",0.744391625,0.00000325
"ICM42688 SPI","error",0.744425375,0.000076625
"ICM42688 SPI","error",0.7445295,0.000003125
"ICM42688 SPI","error",0.744563,0.000031125
"ICM42688 SPI","error",0.744622125,0.00000225
"ICM42688 SPI","error",0.744668875,0.0000015
"ICM42688 SPI","error",0.744714125,0.000002125
"ICM42688 SPI","error",0.74474675,0.000169375
"ICM42688 SPI","error",0.744945375,0.000001375
"ICM42688 SPI","enable",0.745022125,0.000000125
"ICM42688 SPI","disable",0.74509975,0.000000125
"ICM42688 SPI","error",0.745128375,0.000002
"ICM42688 SPI","error",0.74517525,0.00000175
"ICM42688 SPI","error",0.745222125,0.00000075
"ICM42688 SPI","enable",0.74529725,0.000000125
"ICM42688 SPI","disable",0.74537575,0.000000125
"ICM42688 SPI","enable",0.797911125,0.000000125
"ICM42688 SPI","disable",0.79794375,0.000000125
"ICM42688 SPI","error",0.797972125,0.000002375
"ICM42688 SPI","error",0.798004875,0.000030875
"ICM42688 SPI","error",0.798066,0.00000025
"ICM42688 SPI","enable",0.798141125,0.000000125
"ICM42688 SPI","disable",0.798173875,0.000000125
"ICM42688 SPI","error",0.798202375,0.000002125
"ICM42688 SPI","error",0.798235,0.000031
"ICM42688 SPI","error",0.798296,0.0000005
"ICM42688 SPI","error",0.798327,0.000031125
"ICM42688 SPI","enable",0.798418,0.000000125
"ICM42688 SPI","disable",0.798495375,0.000000125
"ICM42688 SPI","error",0.798554,0.000033625
"ICM42688 SPI","error",0.798615125,0.00000275
"ICM42688 SPI","error",0.798662,0.000001875
"ICM42688 SPI","error",0.798708,0.00000175
"ICM42688 SPI","error",0.798737125,0.000172625
"ICM42688 SPI","error",0.798985875,0.00000025
"ICM42688 SPI","error",0.79901675,0.000076625
"ICM42688 SPI","error",0.799122,0.000002
