t_s,sample_ms,height_m,raw_flow_x,raw_flow_y,flow_x_no_height_m_s,flow_y_no_height_m_s,flow_x_with_height_m_s,flow_y_with_height_m_s,app_vx_m_s,app_vy_m_s,vofa_vx_m_s,vofa_vy_m_s,acc_nav_x_m_s2,acc_nav_y_m_s2,acc_nav_z_m_s2,rate_roll_rad_s,rate_pitch_rad_s,rate_roll_dps,rate_pitch_dps,moment_roll_n_m,moment_pitch_n_m,tilt_out_0_rad,tilt_out_1_rad,force_cmd_x_n,force_cmd_y_n,horizontal_scale,protection_flags,roll_est_deg,pitch_est_deg,roll_acc_deg,pitch_acc_deg,alpha,dt_ms,vel_ref_x_m_s,vel_ref_y_m_s,vel_loop_active,flow_quality,flow_valid,ekf_vx_m_s,ekf_vy_m_s,ekf_updates,ekf_rejects,ekf_skips
34.953000000008615,2835612,0.3622904121875763,3,-3,0.03,-0.03,0.010868712365627288,-0.010868712365627288,0.010873403400182724,-0.010873403400182724,0.008700929582118988,-0.011601240374147892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6532941671104595,0.7751878227317945,-0.9606079459190369,-0.2875255048274994,0.9807767868041992,0.9800000190734863,0.0,0.05120000243186951,0.0,106,1,0.0,0.0,0,0,0
34.953000000008615,2835624,0.36253875494003296,3,-4,0.03,-0.04,0.010876162648200988,-0.01450155019760132,0.010876161977648735,-0.014501550234854221,0.017401859164237976,-0.011601240374147892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3017398744233777,0.7277480404242667,-1.563524603843689,-0.3651652932167053,0.9802383780479431,1.0080000162124634,0.0,0.05120000243186951,0.0,105,1,0.0,0.0,0,0,0
34.969000000011874,2835632,0.3627001941204071,6,-4,0.06,-0.04,0.021762011647224425,-0.014508007764816285,0.02175232395529747,-0.014501550234854221,0.011609763838350773,-0.008707323111593723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.11480448982932412,0.6600215301453733,-0.4792029857635498,0.22060254216194153,0.9802383780479431,1.0080000162124634,0.0,0.05120000243186951,0.0,104,1,0.0,0.0,0,0,0
34.98500000000058,2835644,0.3628051280975342,4,-3,0.04,-0.03,0.014512205123901367,-0.010884153842926025,0.014512204565107822,-0.01088415365666151,0.008695804513990879,-0.008695710450410843,8.908286690711975e-05,1.6608462829026394e-05,0.0004850006371270865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.03489395245316507,0.7816820132415572,-0.44663771986961365,0.7575051784515381,0.9794319272041321,1.0499999523162842,0.0,0.05120000243186951,0.0,105,1,0.011609763838350773,-0.008707323111593723,1,0,0
34.98500000000058,2835653,0.3628733456134796,3,-3,0.03,-0.03,0.010886200368404387,-0.010886200368404387,0.01088415365666151,-0.01088415365666151,0.01159769855439663,-0.011597823351621628,0.000860376690980047,-0.0009921768214553595,-0.0006360626430250704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0017300322783134758,1.0356621000385076,0.3527339994907379,1.7584431171417236,0.9797390103340149,1.0339999198913574,0.0,0.05120000243186951,0.0,104,1,0.011613365262746811,-0.011613365262746811,1,0,0
35.0,2835664,0.3629176616668701,4,-4,0.04,-0.04,0.014516706466674805,-0.014516706466674805,0.014516706578433514,-0.014516706578433514,0.011596930213272572,-0.005798949860036373,4.6931505494285375e-05,-0.0005365209653973579,-6.803512951591983e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.09520917044545651,1.3407826147385435,0.543889582157135,1.7135969400405884,0.9802191853523254,1.0089999437332153,0.0,0.05120000243186951,0.0,105,1,0.0,0.0,1,0,0
35.0,2835673,0.362946480512619,4,-2,0.04,-0.02,0.014517859220504761,-0.007258929610252381,0.014516706578433514,-0.007258353289216757,0.020294291898608208,-0.008697748184204102,-0.001021677628159523,0.00024528580252081156,0.0002581214939709753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1461222773840909,1.392030138324401,0.5777382254600525,0.6576113700866699,0.9802383780479431,1.0080000162124634,0.0,0.05120000243186951,0.0,104,1,0.0,0.0,1,0,0
35.01600000000326,2835684,0.3629652261734009,7,-3,0.07,-0.03,0.025407565832138063,-0.010888956785202027,0.025407565757632256,-0.010888956487178802,0.011614887043833733,-0.005807443521916866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2816094290815325,1.5434115454312973,1.1085395812988281,1.9624379873275757,0.9802383780479431,1.0080000162124634,0.0,0.05120000243186951,0.0,105,1,0.017728189006447792,-0.008058764040470123,0,0,0
35.03200000000652,2835693,0.36262741684913635,4,-2,0.04,-0.02,0.014505096673965455,-0.0072525483369827275,0.014518608339130878,-0.007259304169565439,0.008692445233464241,-0.0028968453407287598,-0.0006149804685264826,0.000839422398712486,0.0010245895246043801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3644501728022984,1.712950676306427,0.6421253085136414,1.4276690483093262,0.9802383780479431,1.0080000162124634,0.0,0.05120000243186951,0.0,104,1,0.0,0.0,1,0,0
35.03200000000652,2835704,0.3627578318119049,3,-1,0.03,-0.01,0.010882734954357147,-0.003627578318119049,0.010882734321057796,-0.0036275782622396946,0.008693026378750801,-0.00289842183701694,-1.0961294719891157e-05,-0.0007386741344816983,-0.0007673263899050653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4284214118520513,1.8525694221999416,1.0403177738189697,1.7763646841049194,0.9802383780479431,1.0080000162124634,0.0,0.05120000243186951,0.0,105,1,0.0,0.0,0,0,0
